Year,Value
-O4K4IT8LSf4rrOUKKcY,"{'2018': 255.0, '2019': 264.5, '2020': 254.2, '2021': 274.0, '2022': 259.6, 'Location': 'Hawaii'}"
-O4K4IZ_R3KW10c7XTGa,"{'2018': 385.9, '2019': 378.2, '2020': 383.6, '2021': 337.3, '2022': 258.9, 'Location': 'Florida'}"
-O4K4Iez3I3jmlouldef,"{'2018': 266.0, '2019': 261.2, '2020': 291.2, '2021': 255.4, '2022': 245.0, 'Location': 'Mississippi'}"
-O4K4IlPTxfFuka8GE2F,"{'2018': 239.4, '2019': 236.9, '2020': 260.7, '2021': 259.1, '2022': 241.8, 'Location': 'Utah'}"
-O4K4Irp-dOcAD9h3HhA,"{'2018': 239.7, '2019': 232.6, '2020': 242.6, '2021': 240.8, '2022': 241.4, 'Location': 'Idaho'}"
-O4K4IyE0zaoGFx8DaZO,"{'2018': 204.2, '2019': 209.4, '2020': 208.7, '2021': 225.5, '2022': 234.0, 'Location': 'Virginia'}"
-O4K4J3cT6KUmQR8bjNs,"{'2018': 185.0, '2019': 207.2, '2020': 173.4, '2021': 194.0, '2022': 221.9, 'Location': 'Vermont'}"
-O4K4JA61trK9Ww72sD8,"{'2018': 217.9, '2019': 220.7, '2020': 259.1, '2021': 269.0, '2022': 214.1, 'Location': 'Kentucky'}"
-O4K4JGd1V3HGRwWfa3z,"{'2018': 208.6, '2019': 206.7, '2020': 195.4, '2021': 183.5, '2022': 202.9, 'Location': 'New Jersey'}"
-O4K4JNV-5FnfOpZL3vx,"{'2018': 213.8, '2019': 215.0, '2020': 234.2, '2021': 223.8, '2022': 201.9, 'Location': 'Wyoming'}"
-O4K4JUDvLURaDlxVvhi,"{'2018': 219.8, '2019': 222.7, '2020': 230.8, '2021': 200.5, '2022': 172.3, 'Location': 'Rhode Island'}"
-O4K4JaQTUyft7u09hKI,"{'2018': 209.6, '2019': 184.6, '2020': 181.6, '2021': 168.6, '2022': 150.0, 'Location': 'Connecticut'}"
-O4K4JhCfRuYNyFf6-t0,"{'2018': 177.6, '2019': 158.1, '2020': 146.4, '2021': 129.7, '2022': 125.6, 'Location': 'New Hampshire'}"
-O4K4Jo38xtHaHEqikjg,"{'2018': 112.0, '2019': 116.1, '2020': 108.6, '2021': 112.9, '2022': 103.3, 'Location': 'Maine'}"
2023,
